?? [s],? 1.dY [mm],? 2.dY [mm],? 4.dY [mm],? 1.relY [mm],? 2.relY [mm],? 4.relY [mm]
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10.000000,-0.005499,-0.006221,-0.005857,0.003900,0.004503,0.004022
20.000000,-0.003198,-0.003435,-0.003671,0.007567,0.008423,0.007997
30.000000,-0.001363,-0.001816,-0.001579,0.005670,0.006293,0.006240
40.000000,-0.002856,-0.003291,-0.002905,0.005409,0.006171,0.005693
50.000000,-0.001544,-0.001916,-0.001909,0.005587,0.006421,0.005989
60.000000,-0.002679,-0.002890,-0.002642,0.005706,0.006494,0.006241
70.000000,-0.001129,-0.001369,-0.001141,0.005478,0.006197,0.005930
80.000000,-0.002721,-0.002938,-0.002496,0.004594,0.005387,0.004884
82.829507,-0.002939,-0.003035,-0.003088,0.005934,0.006683,0.006037
83.829507,-0.001851,-0.002012,-0.002136,0.006909,0.007631,0.007384
84.829507,-0.000119,-0.000215,-0.000036,0.005333,0.006025,0.005812
85.829507,-0.002183,-0.002403,-0.002227,0.004868,0.005557,0.005049
86.829507,-0.001381,-0.001543,-0.001652,0.006237,0.006941,0.006454
87.829507,-0.000708,-0.000962,-0.001033,0.005001,0.005645,0.005319
88.829507,-0.002377,-0.002694,-0.002730,0.004487,0.005075,0.004876
89.829507,-0.002732,-0.003253,-0.002996,0.005144,0.005662,0.005592
791.053113,-0.057908,0.015194,-0.025849,0.011242,0.011243,0.011318
801.053113,-0.052165,0.020216,-0.020389,0.029278,0.028733,0.029095
811.053113,-0.010351,0.060218,0.020626,0.086523,0.086187,0.086365
821.053113,0.109883,0.180150,0.140625,0.111836,0.112176,0.111876
831.053113,0.202324,0.272129,0.232663,0.080353,0.081147,0.080847
841.053113,0.259590,0.330004,0.290605,0.045059,0.045890,0.045987
851.053113,0.281443,0.351469,0.312922,0.030638,0.031774,0.031220
861.053113,0.309867,0.381111,0.341329,0.071602,0.073078,0.072345
871.053113,0.413648,0.485183,0.445897,0.094289,0.095266,0.094804
881.053113,0.487448,0.559201,0.519223,0.061390,0.062002,0.061576
891.053113,0.525430,0.596746,0.557335,0.041953,0.042635,0.042552
901.053113,0.560356,0.632030,0.592612,0.079272,0.080219,0.079747
911.053113,0.672976,0.744744,0.705113,0.091586,0.092488,0.091769
921.053113,0.732529,0.804565,0.764436,0.054080,0.054907,0.054367
931.053113,0.770138,0.842116,0.802134,0.038698,0.039238,0.039235
941.053113,0.798925,0.870599,0.831191,0.064262,0.064678,0.064673
951.053113,0.887663,0.959030,0.919766,0.089715,0.090664,0.089965
961.053113,0.967356,1.039487,0.999407,0.063099,0.064194,0.063540
971.053113,1.002863,1.074976,1.035132,0.062351,0.063130,0.063028
981.053113,1.081059,1.153306,1.113749,0.072843,0.073719,0.073380
991.053113,1.137549,1.209973,1.170177,0.053243,0.053947,0.053845
1001.053113,1.176547,1.248760,1.209724,0.060815,0.061180,0.061190
1011.053113,1.248180,1.319892,1.280843,0.094929,0.095392,0.095222
1021.053113,1.355406,1.427102,1.388454,0.089314,0.089946,0.089543
1031.053113,1.415809,1.487342,1.448215,0.073826,0.074365,0.074113
1041.053113,1.492059,1.563391,1.524965,0.111010,0.111849,0.111566
1051.053113,1.626830,1.698599,1.659632,0.106964,0.107859,0.107112
1061.053113,1.694990,1.766668,1.727475,0.057048,0.057447,0.057372
1071.053113,1.729927,1.801051,1.762661,0.081868,0.082350,0.081849
1081.053113,1.847727,1.918927,1.879459,0.108036,0.109016,0.108150
1091.053113,1.935000,2.006641,1.967246,0.074718,0.075314,0.075274
1101.053113,1.986165,2.057114,2.018293,0.098302,0.098215,0.098391
1111.053113,2.120606,2.190631,2.152313,0.110075,0.110447,0.110617
1121.053113,2.195316,2.265568,2.227811,0.061910,0.062974,0.062910
1131.053113,2.233428,2.304138,2.266419,0.037465,0.038228,0.037683
1141.053113,2.259247,2.329582,2.291463,0.058581,0.059033,0.058888
1151.053113,2.339591,2.409763,2.372481,0.073769,0.074515,0.074397
1161.053113,2.395788,2.466171,2.428543,0.047557,0.048477,0.048102
1171.053113,2.423706,2.494276,2.456970,0.055984,0.057366,0.056538
1181.053113,2.496758,2.568462,2.529904,0.078147,0.079233,0.078731
1191.053113,2.569001,2.640302,2.602717,0.066523,0.067081,0.067010
1201.053113,2.618805,2.690183,2.652209,0.041853,0.043092,0.042337
1211.053113,2.641708,2.714044,2.675677,0.040282,0.041513,0.041153
1221.053113,2.688371,2.760769,2.722800,0.071625,0.072852,0.072248
1231.053113,2.773960,2.847307,2.808458,0.068084,0.069322,0.068653
1241.053113,2.813540,2.886972,2.848392,0.048052,0.048850,0.048694
1251.053113,2.859066,2.932566,2.894132,0.068635,0.069562,0.069338
1261.053113,2.939811,3.013654,2.975352,0.066241,0.067186,0.067033
1271.053113,2.980550,3.054496,3.016482,0.042192,0.043209,0.042809
1281.053113,3.013197,3.087631,3.049256,0.060422,0.061524,0.060980
1291.053113,3.090395,3.165103,3.126727,0.072273,0.073542,0.072978
1301.053113,3.146744,3.222273,3.183496,0.048184,0.049385,0.049073
1311.053113,3.175765,3.251433,3.213159,0.054433,0.055568,0.055776
1321.053113,3.244612,3.320969,3.283334,0.082630,0.083871,0.083729
1331.053113,3.330027,3.406733,3.368903,0.069593,0.070486,0.070023
1341.053113,3.372799,3.449499,3.411665,0.045511,0.046301,0.046019
1351.053113,3.410050,3.486894,3.449227,0.045024,0.046131,0.045943
1361.053113,3.451848,3.529319,3.491837,0.077827,0.078971,0.079036
1371.053113,3.554706,3.632396,3.595584,0.083877,0.084889,0.085350
1381.053113,3.608603,3.686656,3.650823,0.044756,0.046255,0.045911
1391.053113,3.633220,3.712465,3.675691,0.039991,0.041476,0.040795
1401.053113,3.677588,3.757167,3.720698,0.072785,0.074073,0.074127
1411.053113,3.767792,3.848170,3.812229,0.066571,0.067448,0.068009
1421.053113,3.799732,3.879622,3.845001,0.034304,0.034715,0.034825
1431.053113,3.825401,3.905159,3.870165,0.051726,0.052424,0.052901
1441.053113,3.892184,3.972029,3.939087,0.069694,0.070614,0.071427
1451.053113,3.953791,4.033946,4.001304,0.045065,0.045858,0.046170
1461.053113,3.971317,4.051305,4.019712,0.037544,0.037851,0.038485
1471.053113,4.017881,4.097208,4.066559,0.060727,0.061395,0.061813
1481.053113,4.081772,4.161653,4.131622,0.044302,0.045686,0.045453
1491.053113,4.095487,4.176138,4.145751,0.046508,0.047134,0.047849
1501.053113,4.163790,4.243480,4.215607,0.069646,0.070242,0.071279
1511.053113,4.223780,4.304182,4.276594,0.040433,0.041874,0.041609
1521.053113,4.233657,4.314788,4.287111,0.043976,0.044634,0.045395
1531.053113,4.300735,4.381008,4.355670,0.054112,0.054540,0.055791
1541.053113,4.330882,4.411427,4.386979,0.034991,0.035841,0.035805
1551.053113,4.359719,4.440249,4.415564,0.052257,0.052805,0.054185
1561.053113,4.424397,4.504597,4.483633,0.063899,0.064769,0.066575
1571.053113,4.476519,4.557346,4.536999,0.035017,0.035650,0.035836
1581.053113,4.483432,4.563455,4.543590,0.043145,0.043999,0.044616
1591.053113,4.551810,4.632902,4.614516,0.068053,0.069615,0.070616
1601.053113,4.608540,4.690244,4.673107,0.045255,0.045808,0.046878
1611.053113,4.631321,4.712077,4.696558,0.023761,0.024495,0.025082
1621.053113,4.645064,4.726792,4.711557,0.053758,0.054593,0.055959
1631.053113,4.727840,4.808821,4.796761,0.070111,0.070448,0.071917
1641.053113,4.774288,4.855246,4.843676,0.034681,0.035646,0.035735
1651.053113,4.786204,4.867673,4.856515,0.051099,0.051957,0.053648
1661.053113,4.865487,4.946720,4.939258,0.059369,0.060264,0.062690
1671.053113,4.893944,4.975759,4.970180,0.041851,0.043004,0.043475
1681.053113,4.938191,5.020287,5.014494,0.041005,0.041918,0.042567
1691.053113,4.964955,5.047153,5.043599,0.055193,0.056013,0.058379
1701.053113,5.037577,5.119871,5.119536,0.049530,0.050267,0.052142
1711.053113,5.053017,5.135246,5.136168,0.027299,0.028458,0.029497
1721.053113,5.081178,5.164346,5.166816,0.060305,0.061650,0.063546
1731.053113,5.162629,5.246104,5.251544,0.057301,0.057995,0.060076
1741.053113,5.184782,5.267894,5.275253,0.035834,0.036362,0.037104
1751.053113,5.223298,5.306388,5.314037,0.047181,0.048317,0.050032
1761.053113,5.268145,5.352088,5.363602,0.054892,0.055771,0.058201
1771.053113,5.322083,5.405489,5.418725,0.047055,0.048329,0.049561
1781.053113,5.351257,5.436304,5.451009,0.036462,0.037852,0.040184
1791.053113,5.384009,5.468753,5.487377,0.045517,0.046236,0.048283
1801.053113,5.431292,5.516334,5.535860,0.058755,0.060206,0.064031
1811.053113,5.490521,5.576724,5.603724,0.064653,0.065999,0.070755
1821.053113,5.549601,5.635891,5.665657,0.046514,0.047921,0.049230
1831.053113,5.572550,5.660124,5.690470,0.028612,0.029892,0.032137
1841.053113,5.595826,5.683235,5.718217,0.048849,0.049132,0.060140
1851.053113,5.659249,5.745947,5.799035,0.065943,0.066605,0.077491
1862.801387,5.716714,5.804003,5.861485,0.034547,0.036363,0.039054
1867.801387,5.717345,5.806232,5.865428,0.004012,0.008713,0.011589
1872.801387,5.713740,5.808989,5.872949,-1.298132,-1.338752,0.808359
1877.801387,3.110084,3.116288,7.470430,-1.310135,-1.355658,0.841846
1882.801387,3.082472,3.085232,7.544925,-0.008076,-0.009055,0.050384
1883.724374,3.082933,3.085736,7.559483,0.005163,0.005769,0.016859
1884.224374,3.081799,3.084328,7.566929,0.004626,0.005191,0.012975
1884.724374,3.081187,3.083677,7.573718,0.004443,0.005286,0.009992
1885.224374,3.079686,3.082459,7.575199,0.004654,0.005482,0.006845
1885.724374,3.079495,3.082200,7.575694,0.005308,0.005962,0.006352
